id,name,description
24174537-aa59-43af-8b11-54caf289dcad,General Medicine,Specialized care and consultation for general medicine patients.
30b4a756-7975-408c-94a7-eb9b4b4f898d,Cardiology,Specialized care and consultation for cardiology patients.
1d407d63-7b3f-47a4-86d9-79fa7577322a,Dermatology,Specialized care and consultation for dermatology patients.
a01f51e0-937b-4fa3-b6ed-bda0d8fd5c64,Neurology,Specialized care and consultation for neurology patients.
6c139feb-f7c1-4b54-8de0-62f261f61a2c,Orthopedics,Specialized care and consultation for orthopedics patients.
d851765d-af9b-40dc-b8a5-311798306970,Pediatrics,Specialized care and consultation for pediatrics patients.
ceb0f1f6-b055-472e-9d8f-c24ada731a85,Gynecology,Specialized care and consultation for gynecology patients.
bc307e13-ff89-4aa0-b496-47837edf52f3,ENT,Specialized care and consultation for ent patients.
86836d86-13f7-46e5-a647-28bbcfc1b7c6,Ophthalmology,Specialized care and consultation for ophthalmology patients.
f49c2739-7444-486c-bc74-175659ffbf24,Psychiatry,Specialized care and consultation for psychiatry patients.
48ee9090-1fe6-470f-bda9-fd55dedd4ad3,Dentistry,Specialized care and consultation for dentistry patients.
96132722-8416-47b2-912a-09064031e913,Gastroenterology,Specialized care and consultation for gastroenterology patients.
ba980498-a476-4ac8-b96d-1e4eba66812d,Pulmonology,Specialized care and consultation for pulmonology patients.
165f4f02-49ea-47f9-ab46-f92951524c6c,Endocrinology,Specialized care and consultation for endocrinology patients.
f8a5b8c0-57a3-4a0a-8feb-b27e21308fb1,Nephrology,Specialized care and consultation for nephrology patients.
d77f9ee5-c256-43ae-a027-8cb6c64450d3,Urology,Specialized care and consultation for urology patients.
fd6393e1-01b5-48e0-888b-d1ae5729d54d,Oncology,Specialized care and consultation for oncology patients.
5ae26c7c-429d-42b0-91a4-0f974c768b93,Physiotherapy,Specialized care and consultation for physiotherapy patients.
