id,name,city,area,address,phone
41f752ed-040e-4180-a867-ea4e26204302,Central Care Clinic,Bangalore,Indiranagar,"Indiranagar, Bangalore, Karnataka",+91 80 41867825
8c4bf5cc-6a30-43b0-a1ec-27a0e302e91c,MediGuide Health Center,Bangalore,Whitefield,"Whitefield, Bangalore, Karnataka",+91 80 40419610
4f5f43e6-26ea-4f9b-8792-2caff26b1529,GreenLife Hospital,Bangalore,KR Puram,"KR Puram, Bangalore, Karnataka",+91 80 44614226
ccac9dc7-977b-48ca-9178-99822ceea893,CityWell Multispeciality,Bangalore,Marathahalli,"Marathahalli, Bangalore, Karnataka",+91 80 44108603
c0890b53-862b-4f79-9d01-9fb0a623d178,Nova Family Clinic,Bangalore,Koramangala,"Koramangala, Bangalore, Karnataka",+91 80 43744854
310ef9c8-3786-421d-bf46-460e7dd54938,Harmony Medical Center,Bangalore,HSR Layout,"HSR Layout, Bangalore, Karnataka",+91 80 42341057
cef2d598-df8b-4c26-a046-babe714a97b6,PrimeHealth Clinic,Bangalore,Electronic City,"Electronic City, Bangalore, Karnataka",+91 80 41719583
4f725f99-94d2-4feb-ad3e-2250788ba478,CarePoint Hospital,Bangalore,Hebbal,"Hebbal, Bangalore, Karnataka",+91 80 49149732
2d48c4ff-c397-47a2-9e5c-7f55d154bd62,Sunrise Medical Hub,Bangalore,Jayanagar,"Jayanagar, Bangalore, Karnataka",+91 80 41458591
ff1e550f-5408-4f61-afff-b012f4960479,BlueCross Wellness,Bangalore,Yelahanka,"Yelahanka, Bangalore, Karnataka",+91 80 49906820
